Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno 
Icatibant;ICATIBANT 30MG 3ML 1 UNITA' USO PARENTERALE;ICATIBANT*1 siringa preriempita 30 mg 3 ml con ago;1767,28;1070,82;-;ZENTIVA ITALIA Srl;049047018;ATT;
Icatibant;ICATIBANT 30MG 3ML 1 UNITA' USO PARENTERALE;ICATIBANT*1 siringa preriempita SC 30 mg 3 ml 10 mg/ml;1767,28;1070,82;-;TEVA B.V.;049039011;ATT;
Idarubicina;IDARUBICINA 10MG 1 UNITA' USO PARENTERALE;ZAVEDOS*1 flacone polv EV 10 mg;263,77;119,90;-;PFIZER ITALIA Srl;027441029;ATU;
Idarubicina;IDARUBICINA 10MG 10ML 1 UNITA' USO PARENTERALE;ZAVEDOS*1 fiala EV 10 mg 10 ml;263,77;119,90;-;PFIZER ITALIA Srl;027441070;ATV;
Idarubicina;IDARUBICINA 5MG 5ML 1 UNITA' USO PARENTERALE;ZAVEDOS*1 fiala polv EV 5 mg + 1 fiala solv 5 ml;151,63;68,92;-;PFIZER ITALIA Srl;027441017;ATW;
Idarucizumab;IDARUCIZUMAB 2,5G 50ML 2 UNITA' USO PARENTERALE;PRAXBIND*2 flaconcini EV 2,5 g 50 ml;4115,69;2493,75;-;BOEHRINGER INGELHEIM INT.GMBH;044561013;FRZ;
Idecabtagene vicleucel;IDECABTAGENE VICLEUCEL 1 SACCA EV;ABECMA*EV 260-500x10 alla sesta cellule desipersione per infusione SACCA specifica per paziente 1 o piu' sacche;521324,08;315875,00;-;BRISTOL M.SQUIBB PHARMA EEIG;049604010;MYK;
Idelalisib;IDELALISIB 100MG 60 UNITA' USO ORALE;ZYDELIG*60 cpr riv 100 mg flacone;5957,94;3610,00;-;GILEAD SCIENCES IRELAND UC;043620018;EBU;
Idelalisib;IDELALISIB 150MG 60 UNITA' USO ORALE;ZYDELIG*60 cpr riv 150 mg flacone;5957,94;3610,00;-;GILEAD SCIENCES IRELAND UC;043620020;EBY;
Idrocortisone;IDROCORTISONE 5MG 50 UNITA' USO ORALE RM;EFMODY*50 cps 5 mg rilascio modificato flacone;264,94;160,53;-;DIURNAL EUROPE BV;049545015;IWQ;
Idrocortisone;IDROCORTISONE 5MG 50 UNITA' USO ORALE RM;PLENADREN*50 cpr 5 mg rilascio modificato flacone;406,63;246,38;-;TAKEDA PHARM.INT.AG IR.BRANCH;042487013;IWQ;
Idrocortisone;IDROCORTISONE 20MG 50 UNITA' USO ORALE RM;PLENADREN*50 cpr 20 mg rilascio modificato flacone;676,23;409,74;-;TAKEDA PHARM.INT.AG IR.BRANCH;042487025;IWR;
Idrocortisone;IDROCORTISONE 10MG 50 UNITA' USO ORALE RM;EFMODY*50 cps 10 mg rilascio modificato flacone;529,86;321,05;-;DIURNAL EUROPE BV;049545027;MBP;
Idursulfasi;IDURSULFASI 6MG 3ML 1 UNITA' USO PARENTERALE;ELAPRASE*1 flaconcino EV 3 ml 2 mg/ml;4356,75;2639,81;-;TAKEDA PHARM.INT.AG IR.BRANCH;039403011;ATX;
Ifosfamide;IFOSFAMIDE 1.000MG 1 UNITA' USO PARENTERALE;HOLOXAN*1 flaconcino EV 1 g polv;47,71;28,91;-;BAXTER SpA;023779061;ATY;
Imiglucerasi;IMIGLUCERASI 400U 10ML 1 UNITA' USO PARENTERALE;CEREZYME*1 flaconcino EV 400 U/10 ml;2193,00;1328,77;-;GENZYME EUROPE B.V.;034088031;AUE;
Imipenem/cilastatina;IMIPENEM+CILASTATINA 500+500MG 10 UNITA' USO PARENTERALE;IMIPENEM E CILASTATINA*10 flaconcini EV 500 mg + 500 mg;107,99;65,44;-;EUGIA PHARMA (MALTA) LIMITED;040005023;AUG;
Imipenem/cilastatina;IMIPENEM+CILASTATINA 500+500MG 10 UNITA' USO PARENTERALE;IMIPENEM E CILASTATINA*10 flaconcini soluz infus 500 mg + 500 mg;107,99;65,44;-;HIKMA FARMACEUTICA S.A.;040844021;AUG;
Imipenem/cilastatina;IMIPENEM+CILASTATINA 500+500MG 30ML 1 UNITA' USO PARENTERALE;IMIPENEM E CILASTATINA*1 flaconcino EV 500 mg + 500 mg;11,29;6,84;-;SUN PHARMACEUTICAL IND.EU.B.V.;039449044;AUJ;
Imipenem/cilastatina/relebactam;IMIPENEM+CILASTATINA+RELEBACTAM 500+500+250MG 25 UNITA' USO PARENTERALE;RECARBRIO*25 flaconcini EV 500 mg + 500 mg + 250 mg;5120,36;3102,50;-;MERCK SHARP & DOHME BV;048537017;LXB;
Imlifidase;IMLIFIDASE 11MG 1 UNITA' USO PARENTERALE;IDEFIRIX*1 flaconcino EV polv 11 mg;285084,44;148500,06;-;HANSA BIOPHARMA AB;048988012;MKL;
Imlifidase;IMLIFIDASE 11MG 2 UNITA' USO PARENTERALE;IDEFIRIX*2 flaconcini EV polv 11 mg;490168,96;297000,12;-;HANSA BIOPHARMA AB;048988024;MKM;
Immunoglobulina di coniglio antitimociti umani;IMMUNOGLOBULINA DI CONIGLIO ANTITIMOCITI UMANI 25MG 5ML 1 UNITA' USO PARENTERALE;THYMOGLOBULINE*1 flaconcino EV 25 mg 5 ml;238,99;144,81;-;GENZYME EUROPE B.V.;033177027;AUK;
Immunoglobulina Equina linfocitaria;IMMUNOGLOBULINA EQUINA LINFOCITARIA 250MG 5ML 5 UNITA' USO PARENTERALE;EQUINGAM*5 fiale EV 5 ml 50 mg/ml;4641,75;2812,49;-;PFIZER Srl;044176016;MYS;
Immunoglobulina Umana Antiepatite B;IMMUNOGLOBULINA UMANA ANTIEPATITE B 100UI 2ML 1 UNITA' USO PARENTERALE EV;NEOHEPATECT*1 flacone EV 100 UI 2 ml;80,36;48,69;-;BIOTEST PHARMA GMBH;035561012;AUL;
Immunoglobulina Umana Antiepatite B;IMMUNOGLOBULINA UMANA ANTIEPATITE B 2.000UI 40ML 1 UNITA' USO PARENTERALE EV;NEOHEPATECT*1 flacone EV 2.000 UI 40 ml 50 UI/ml;1156,93;701,00;-;BIOTEST PHARMA GMBH;035561036;AUM;
Immunoglobulina Umana Antiepatite B;IMMUNOGLOBULINA UMANA ANTIEPATITE B 2.500UI 45ML 1 UNITA' USO PARENTERALE EV;VENBIG*1 fiala 2.500 UI + 1 fiala solv 45 ml + set;-;-;875,00;KEDRION SpA;026415051;AUN;
Immunoglobulina Umana Antiepatite B;IMMUNOGLOBULINA UMANA ANTIEPATITE B 2.500UI 50ML 1 UNITA' USO PARENTERALE EV;KEYVEN B*1 flacone EV 50 ml 50 UI/ml + set infusionale;1444,11;875,00;-;KEDRION SpA;038059046;AUO;
Immunoglobulina Umana Antiepatite B;IMMUNOGLOBULINA UMANA ANTIEPATITE B 250UI 20ML 1 UNITA' USO PARENTERALE EV;NIULIVA*1 flacone infus 20 ml 250 UI/ml;2698,42;1635,00;-;INSTITUTO GRIFOLS S.A.;038445033;AUP;
Immunoglobulina Umana Antiepatite B;IMMUNOGLOBULINA UMANA ANTIEPATITE B 250UI 40ML 1 UNITA' USO PARENTERALE EV;NIULIVA*1 flacone infus 40 ml 250 UI/ml;5396,84;3270,00;-;INSTITUTO GRIFOLS S.A.;038445045;AUQ;
Immunoglobulina Umana Antiepatite B;IMMUNOGLOBULINA UMANA ANTIEPATITE B 250UI 4ML 1 UNITA' USO PARENTERALE EV;NIULIVA*1 siringa infus 4 ml 250 UI/ml;539,68;327,00;-;INSTITUTO GRIFOLS S.A.;038445021;AUR;
Immunoglobulina Umana Antiepatite B;IMMUNOGLOBULINA UMANA ANTIEPATITE B 500UI 10ML 1 UNITA' USO PARENTERALE EV;NEOHEPATECT*1 fiala EV 500 UI 10 ml;321,83;195,00;-;BIOTEST PHARMA GMBH;035561024;AUS;
Immunoglobulina Umana Antiepatite B;IMMUNOGLOBULINA UMANA ANTIEPATITE B 500UI 10ML 1 UNITA' USO PARENTERALE EV;VENBIG*1 fiala 500 UI + 1 fiala solv 10 ml + set;324,70;196,74;-;KEDRION SpA;026415048;AUS;
Immunoglobulina Umana Antiepatite B;IMMUNOGLOBULINA UMANA ANTIEPATITE B 5.000UI 100ML 1 UNITA' USO PARENTERALE EV;NEOHEPATECT*1 flacone EV 5.000 UI 100 ml;2698,40;1635,00;-;BIOTEST PHARMA GMBH;035561048;FKD;
Immunoglobulina Umana antiepatite B;IMMUNOGLOBULINA UMANA ANTIEPATITE B 500UI 10ML 1 UNITA' USO PARENTERALE;KEYVEN B*1 flaconcino EV 10 ml 50 UI/ml + set infusionale;288,82;175,00;-;KEDRION SpA;038059034;MXG;
Immunoglobulina Umana Citomegalovirus;IMMUNOGLOBULINA UMANA CITOMEGALOVIRUS 1.000UI 10ML 1 UNITA' USO PARENTERALE EV;CYTOMEGATECT*1 flacone EV 1.000 U 10 ml;325,21;197,05;-;BIOTEST PHARMA GMBH;046731016;GWG;
Immunoglobulina Umana Citomegalovirus;IMMUNOGLOBULINA UMANA CITOMEGALOVIRUS 5.000UI 50ML 1 UNITA' USO PARENTERALE EV;CYTOMEGATECT*1 flacone EV 5.000 U 50 ml 100 U/ml;1431,45;867,34;-;BIOTEST PHARMA GMBH;046731028;GWH;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 100ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA DIF*1 flacone EV 100 ml 100 mg/ml;1072,76;650,00;-;INSTITUTO GRIFOLS S.A.;040267078;AUY;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 100ML 1 UNITA' USO PARENTERALE;IQYMUNE*1 flacone EV 100 ml 100 mg/ml;970,72;550,00;-;LFB LABORATOIRE FRANC.DU FRACT;043736038;AUY;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 100ML 1 UNITA' USO PARENTERALE;KIOVIG*1 flacone EV 100 ml 100 mg/ml;1072,76;650,00;-;BAXTER AG;037107048;AUY;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 100ML 1 UNITA' USO PARENTERALE;PRIVIGEN*1 flacone EV 100 ml 100 mg/ml;1072,76;650,00;-;CSL BEHRING GmbH;039712029;AUY;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 192ML 1 UNITA' USO PARENTERALE;GAMMAGARD*1 flacone EV 10 g + 1 flacone solv 192 ml;1072,76;650,00;-;BAXALTA INNOVATIONS GMBH;033240045;AUZ;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 200ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA DIF*1 flacone EV 200 ml 50 mg/ml;1072,76;650,00;-;INSTITUTO GRIFOLS S.A.;040267041;AVC;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 200ML 1 UNITA' USO PARENTERALE;IG VENA*1 flacone EV 200 ml 50 g/litro + set infusionale;1072,76;650,00;-;KEDRION SpA;025266178;AVC;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 200ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flacone infus 50 g/l 200 ml;1072,76;650,00;-;BIOTEST PHARMA GMBH;037240088;AVC;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 200ML 1 UNITA' USO PARENTERALE;OCTAGAM*1 flacone 200 ml 5%;907,72;550,00;-;OCTAPHARMA ITALY SpA;035143039;AVC;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 200ML 1 UNITA' USO PARENTERALE;PLITAGAMMA*1 flaconcino EV 200 ml 50 mg/ml;-;504,00;-;INSTITUTO GRIFOLS S.A.;029249063;AVC;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 200ML 1 UNITA' USO PARENTERALE;VENITAL*1 flacone EV 200 ml 50 g/litro + set infusionale;907,72;550,00;-;KEDRION SpA;037254048;AVC;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 10ML 1 UNITA' USO PARENTERALE;KIOVIG*1 flacone EV 10 ml 100 mg/ml;107,28;65,00;-;BAXTER AG;037107012;AVF;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 20ML 1 UNITA' USO PARENTERALE;IG VENA*1 flacone EV 20 ml 50 g/litro;107,27;65,00;-;KEDRION SpA;025266141;AVG;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 20ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flacone infus 50 g/l 20 ml;107,27;65,00;-;BIOTEST PHARMA GMBH;037240052;AVG;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 20ML 1 UNITA' USO PARENTERALE;VENITAL*1 flacone EV 20 ml 50 g/litro;90,77;55,00;-;KEDRION SpA;037254012;AVG;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 5ML 1 UNITA' USO PARENTERALE;CUVITRU*1 flaconcino SC 5 ml 200 mg/ml;83,18;50,40;-;BAXALTA INNOVATIONS GMBH;044244010;AVI;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 5ML 1 UNITA' USO PARENTERALE;HIZENTRA*1 flaconcino SC 5 ml 200 mg/ml;107,28;65,00;-;CSL BEHRING GmbH;041157013;AVI;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 25ML 1 UNITA' USO PARENTERALE;KIOVIG*1 flacone EV 25 ml 100 mg/ml;268,19;162,50;-;BAXTER AG;037107024;AVJ;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 25ML 1 UNITA' USO PARENTERALE;PRIVIGEN*1 flacone EV 25 ml 100 mg/ml;268,19;162,50;-;CSL BEHRING GmbH;039712043;AVJ;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 50ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA DIF*1 flacone EV 50 ml 50 mg/ml;268,19;162,50;-;INSTITUTO GRIFOLS S.A.;040267027;AVK;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 50ML 1 UNITA' USO PARENTERALE;IG VENA*1 flacone EV 50 ml 50 g/litro + set infusionale;268,19;162,50;-;KEDRION SpA;025266154;AVK;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 50ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flacone infus 50 g/l 50 ml;268,19;162,50;-;BIOTEST PHARMA GMBH;037240064;AVK;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 50ML 1 UNITA' USO PARENTERALE;OCTAGAM*1 flacone 50 ml 5%;226,93;137,50;-;OCTAPHARMA ITALY SpA;035143015;AVK;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 50ML 1 UNITA' USO PARENTERALE;PLITAGAMMA*1 flaconcino EV 50 ml 50 mg/ml;-;126,00;-;INSTITUTO GRIFOLS S.A.;029249048;AVK;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 50ML 1 UNITA' USO PARENTERALE;VENITAL*1 flacone EV 50 ml 50 g/litro + set infusionale;226,93;137,50;-;KEDRION SpA;037254024;AVK;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 20G 200ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA DIF*1 flacone EV 200 ml 100 mg/ml;2145,52;1300,00;-;INSTITUTO GRIFOLS S.A.;040267080;AVL;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 20G 200ML 1 UNITA' USO PARENTERALE;IQYMUNE*1 flacone EV 200 ml 100 mg/ml;1815,44;1100,00;-;LFB LABORATOIRE FRANC.DU FRACT;043736040;AVL;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 20G 200ML 1 UNITA' USO PARENTERALE;KIOVIG*1 flacone EV 200 ml 100 mg/ml;2145,52;1300,00;-;BAXTER AG;037107051;AVL;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 20G 200ML 1 UNITA' USO PARENTERALE;PRIVIGEN*1 flacone EV 200 ml 100 mg/ml;2145,52;1300,00;-;CSL BEHRING GmbH;039712031;AVL;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2G 10ML 1 UNITA' USO PARENTERALE;CUVITRU*1 flaconcino SC 10 ml 200 mg/ml;166,36;100,80;-;BAXALTA INNOVATIONS GMBH;044244022;AVM;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2G 10ML 1 UNITA' USO PARENTERALE;HIZENTRA*1 flaconcino SC 10 ml 200 mg/ml;214,55;130,00;-;CSL BEHRING GmbH;041157049;AVM;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2G 20ML 1 UNITA' USO PARENTERALE;IQYMUNE*1 flacone EV 20 ml 100 mg/ml;181,54;110,00;-;LFB LABORATOIRE FRANC.DU FRACT;043736014;AVN;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 30G 300ML 1 UNITA' USO PARENTERALE;KIOVIG*1 flacone EV 300 ml 100 mg/ml;3218,28;1950,00;-;BAXTER AG;037107063;AVO;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 4G 20ML 1 UNITA' USO PARENTERALE;CUVITRU*1 flaconcino SC 20 ml 200 mg/ml;332,72;201,60;-;BAXALTA INNOVATIONS GMBH;044244034;AVQ;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 4G 20ML 1 UNITA' USO PARENTERALE;HIZENTRA*1 flaconcino SC 20 ml 200 mg/ml;429,10;260,00;-;CSL BEHRING GmbH;041157102;AVQ;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 100ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA DIF*1 flacone EV 100 ml 50 mg/ml;536,38;325,00;-;INSTITUTO GRIFOLS S.A.;040267039;AVR;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 100ML 1 UNITA' USO PARENTERALE;IG VENA*1 flacone EV 100 ml 50 g/litro + set infusionale;536,38;325,00;-;KEDRION SpA;025266166;AVR;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 100ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flacone infus 50 g/l 100 ml;536,38;325,00;-;BIOTEST PHARMA GMBH;037240076;AVR;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 100ML 1 UNITA' USO PARENTERALE;OCTAGAM*1 flacone 100 ml 5%;453,86;275,00;-;OCTAPHARMA ITALY SpA;035143027;AVR;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 100ML 1 UNITA' USO PARENTERALE;PLITAGAMMA*1 flaconcino EV 100 ml 50 mg/ml;-;252,00;-;INSTITUTO GRIFOLS S.A.;029249051;AVR;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 100ML 1 UNITA' USO PARENTERALE;VENITAL*1 flacone EV 100 ml 50 g/litro + set infusionale;453,86;275,00;-;KEDRION SpA;037254036;AVR;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 50ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA DIF*1 flacone EV 50 ml 100 mg/ml;536,38;325,00;-;INSTITUTO GRIFOLS S.A.;040267066;AVS;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 50ML 1 UNITA' USO PARENTERALE;GAMUNEX*1 flacone EV 50 ml 100 mg/ml;536,38;325,00;-;GRIFOLS DEUTSCHLAND GmbH;045410026;AVS;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 50ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flaconcino soluz infus 100 g/l 50 ml;536,38;325,00;-;BIOTEST PHARMA GMBH;037240102;AVS;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 50ML 1 UNITA' USO PARENTERALE;IQYMUNE*1 flacone EV 50 ml 100 mg/ml;453,86;275,00;-;LFB LABORATOIRE FRANC.DU FRACT;043736026;AVS;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 50ML 1 UNITA' USO PARENTERALE;KIOVIG*1 flacone EV 50 ml 100 mg/ml;536,38;325,00;-;BAXTER AG;037107036;AVS;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 50ML 1 UNITA' USO PARENTERALE;PRIVIGEN*1 flacone EV 50 ml 100 mg/ml;536,38;325,00;-;CSL BEHRING GmbH;039712017;AVS;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 5G 96ML 1 UNITA' USO PARENTERALE;GAMMAGARD*1 flacone EV 5 g + 1 flacone solv 96 ml;536,38;325,00;-;BAXALTA INNOVATIONS GMBH;033240033;AVT;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 20G 400ML 1 UNITA' USO PARENTERALE;FLEBOGAMMA DIF*1 flacone EV 400 ml 50 mg/ml;2145,52;1300,00;-;INSTITUTO GRIFOLS S.A.;040267054;BQP;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1,65G 10ML 1 UNITA' USO PARENTERALE;OCTANORM*1 flaconcino SC 10 ml 165 mg/ml;149,77;90,75;-;OCTAPHARMA ITALY SpA;040652012;FKF;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 100ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flaconcino soluz infus 100 g/l 100 ml;1072,76;650,00;-;BIOTEST PHARMA GMBH;037240114;FKJ;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 10ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flaconcino soluz infus 100 g/l 10 ml;107,27;65,00;-;BIOTEST PHARMA GMBH;037240090;FKK;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 20G 200ML 1 UNITA' USO PARENTERALE;INTRATECT*1 flaconcino soluz infus 100 g/l 200 ml;2145,52;1300,00;-;BIOTEST PHARMA GMBH;037240126;FKN;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 3,3G 20ML 1 UNITA' USO PARENTERALE;OCTANORM*1 flaconcino SC 20 ml 165 mg/ml;299,55;181,50;-;OCTAPHARMA ITALY SpA;040652048;FKQ;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 10G 50ML 1 UNITA' USO PARENTERALE;HIZENTRA*1 flaconcino SC 50 ml 200 mg/ml;1072,76;650,00;-;CSL BEHRING GmbH;041157138;GOZ;
Immunoglobulina umana normale;IMMUNOGLOBULINA UMANA NORMALE 5G 50ML 1 UNITA' USO PARENTERALE SC;HYQVIA*1 flaconcino INFUS SC 50 ml + 1 flaconcino 2,5 ml;536,38;325,00;-;BAXALTA INNOVATIONS GMBH;042804029;HQC;
Immunoglobulina umana normale;IMMUNOGLOBULINA UMANA NORMALE 10G 100ML 1 UNITA' USO PARENTERALE SC;HYQVIA*1 flaconcino INFUS SC 100 ml + 1 flaconcino 5 ml;1072,76;650,00;-;BAXALTA INNOVATIONS GMBH;042804031;HQG;
Immunoglobulina umana normale;IMMUNOGLOBULINA UMANA NORMALE 20G 200ML 1 UNITA' USO PARENTERALE SC;HYQVIA*1 flaconcino INFUS SC 200 ml + 1 flaconcino 10 ml;2145,52;1300,00;-;BAXALTA INNOVATIONS GMBH;042804043;HQQ;
Immunoglobulina umana normale;IMMUNOGLOBULINA UMANA NORMALE 30G 300ML 1 UNITA' USO PARENTERALE SC;HYQVIA*1 flaconcino INFUS SC 300 ml + 1 flaconcino 15 ml;3218,28;1950,00;-;BAXALTA INNOVATIONS GMBH;042804056;HQS;
Immunoglobulina umana normale;IMMUNOGLOBULINA UMANA NORMALE 2,5G 1,25ML 1 UNITA' USO PARENTERALE SC;HYQVIA*1 flaconcino INFUS SC 25 ml + 1 flaconcino 1,25 ml;268,19;162,50;-;BAXALTA INNOVATIONS GMBH;042804017;JDK;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 4G 25ML 1 UNITA' USO PARENTERALE;KEYCUTE*1 flaconcino SC 25 ml 160 mg/ml;363,09;220,00;-;KEDRION SpA;043398027;JUY;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 4G 25ML 1 UNITA' USO PARENTERALE;NAXIGLO*1 flaconcino SC 25 ml 160 mg/ml;429,10;260,00;-;KEDRION SpA;043396023;JUY;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 1G 6ML 1 UNITA' USO PARENTERALE;OCTANORM*1 flaconcino SC 6 ml 165 mg/ml;90,77;55,00;-;OCTAPHARMA ITALY SpA;040652075;JWV;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 2G 12ML 1 UNITA' USO PARENTERALE;OCTANORM*1 flaconcino SC 12 ml 165 mg/ml;181,54;110,00;-;OCTAPHARMA ITALY SpA;040652101;JWW;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 4G 24ML 1 UNITA' USO PARENTERALE;OCTANORM*1 flaconcino SC 24 ml 165 mg/ml;363,09;220,00;-;OCTAPHARMA ITALY SpA;040652137;JWX;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 8G 48ML 1 UNITA' USO PARENTERALE;OCTANORM*1 flaconcino SC 48 ml 165 mg/ml;726,18;440,00;-;OCTAPHARMA ITALY SpA;040652164;JWY;
Immunoglobulina Umana Normale;IMMUNOGLOBULINA UMANA NORMALE 8G 40ML 1 UNITA' USO PARENTERALE;CUVITRU*1 flaconcino SC 40 ml 200 mg/ml;665,45;403,20;-;BAXALTA INNOVATIONS GMBH;044244046;KLI;
Inebilizumab;INEBILIZUMAB 10ML 100MG 3 UNITA' USO PARENTERALE;UPLIZNA*3 flaconcini soluz infus 100 mg 10 ml;78421,44;47516,63;-;HORIZON THERAPEUTICS IRELAND DAC;050085012;MMY;
Infliximab;INFLIXIMAB 100MG 10 ML 4 UNITA' USO PARENTERALE;REMSIMA*4 flaconcini polv EV 100 mg;2550,07;1545,12;-;CELLTRION HEALTHCARE HUNG.KFT;042942045;IZU;
Infliximab;INFLIXIMAB 100MG 10 ML 1 UNITA' USO PARENTERALE;FLIXABI*1 flaconcino polv EV 100 mg;637,52;386,28;-;SAMSUNG BIOEPIS NL B.V.;044892014;IZW;
Infliximab;INFLIXIMAB 100MG 10 ML 1 UNITA' USO PARENTERALE;INFLECTRA*1 flaconcino polv EV 100 mg 10 ml;637,52;386,28;-;PFIZER EUROPE MA EEIG;043010014;IZW;
Infliximab;INFLIXIMAB 100MG 10 ML 1 UNITA' USO PARENTERALE;REMICADE*1 flacone polv INFUS EV 100 mg;765,03;463,53;-;JANSSEN BIOLOGICS B.V.;034528012;IZW;
Infliximab;INFLIXIMAB 100MG 10 ML 1 UNITA' USO PARENTERALE;REMSIMA*1 flaconcino polv EV 100 mg;637,52;386,28;-;CELLTRION HEALTHCARE HUNG.KFT;042942019;IZW;
