Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Prezzo al pubblico �,Titolare AIC,AIC,Codice Gruppo Equivalenza,X=in lista di trasparenza Aifa 15/10/2024,Solo in lista di Regione:,Metri cubi ossigeno
Levodopa/carbidopa/entacapone,"LEVODOPA+CARBIDOPA+ENTACAPONE 50+12,5+200MG 100 UNITA' USO ORALE","LEVODOPA CARBIDOPA ENTACAPONE*100 cpr 50 mg + 12,5 mg + 200 mg flacone","53,00",MYLAN SpA,44193047,NYE,X,,
Levodopa/carbidopa/entacapone,"LEVODOPA+CARBIDOPA+ENTACAPONE 75+18,75+200MG 100 UNITA' USO ORALE","STALEVO*100 cpr 75 mg + 18,75 mg + 200 mg","110,22",ORION CORPORATION,36825242,NYF,X,,
Levodopa/carbidopa/entacapone,"LEVODOPA+CARBIDOPA+ENTACAPONE 75+18,75+200MG 100 UNITA' USO ORALE","LEVODOPA CARBIDOPA ENTACAPONE*100 cpr riv 75 mg + 18,75 mg + 200 mg","57,86",TEVA ITALIA Srl,43128228,NYF,X,,
Levodopa/carbidopa/entacapone,"LEVODOPA+CARBIDOPA+ENTACAPONE 75+18,75+200MG 100 UNITA' USO ORALE","CORBILTA*100 cpr riv 75 mg + 18,75 mg + 200 mg","57,86",ORION CORPORATION,43152091,NYF,X,,
Levodopa/carbidopa/entacapone,"LEVODOPA+CARBIDOPA+ENTACAPONE 75+18,75+200MG 100 UNITA' USO ORALE","LEVODOPA CARBIDOPA ENTACAPONE*100 cpr 75 mg + 18,75 mg + 200 mg flacone","57,86",MYLAN SpA,44193086,NYF,X,,
Levodropropizina,LEVODROPROPIZINA 6% 30ML USO ORALE,TAUTUX*orale gtt 30 ml 6%,"9,28",DOMPE' FARMACEUTICI SpA,26973026,NZA,,,
Levodropropizina,LEVODROPROPIZINA 6% 30ML USO ORALE,LEVOTUSS TOSSE*orale gtt 30 ml 60 mg/ml,"9,77",DOMPE' FARMACEUTICI SpA,42005013,NZA,,,
Levodropropizina,"LEVODROPROPIZINA 0,6% 200ML USO ORALE",TAUTUX*sciroppo 1 flacone 200 ml 30 mg/5 ml,"6,20",DOMPE' FARMACEUTICI SpA,26973014,NZB,,,
Levofloxacina,LEVOFLOXACINA 250MG 5 UNITA' USO ORALE,PRIXAR*5 cpr riv 250 mg,"6,40",SANOFI Srl,33633013,FGA,X,,
Levofloxacina,LEVOFLOXACINA 250MG 5 UNITA' USO ORALE,TAVANIC*5 cpr riv 250 mg,"5,90",SANOFI Srl,33634015,FGA,X,,
Levofloxacina,LEVOFLOXACINA 250MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 250 mg,"3,90",MYLAN SpA,39675044,FGA,X,,
Levofloxacina,LEVOFLOXACINA 250MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 250 mg,"3,90",ABC FARMACEUTICI SpA,40046017,FGA,X,,
Levofloxacina,LEVOFLOXACINA 250MG 5 UNITA' USO ORALE,ARANDA*5 cpr riv 250 mg,"3,90",EG SpA,40194021,FGA,X,,
Levofloxacina,LEVOFLOXACINA 250MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 250 mg,"3,90",SANDOZ SpA,40219038,FGA,X,,
Levofloxacina,LEVOFLOXACINA 250MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 250 mg,"3,90",SUN PHARMACEUTICAL IND.EU.B.V.,40250033,FGA,X,,
Levofloxacina,LEVOFLOXACINA 250MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 250 mg,"3,90",EG SpA,40303024,FGA,X,,
Levofloxacina,LEVOFLOXACINA 250MG 5 UNITA' USO ORALE,LEVOXIGRAM*5 cpr riv 250 mg,"3,90",AESCULAPIUS FARMACEUTICI Srl,40362028,FGA,X,,
Levofloxacina,LEVOFLOXACINA 250MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 250 mg,"3,90",ALMUS Srl,40373021,FGA,X,,
Levofloxacina,LEVOFLOXACINA 250MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 250 mg,"3,90",AUROBINDO PHARMA ITALIA Srl,40941027,FGA,X,,
Levofloxacina,LEVOFLOXACINA 250MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 250 mg,"3,90",KRKA D.D.NOVO MESTO,44492027,FGA,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,PRIXAR*5 cpr riv 500 mg,"8,77",SANOFI Srl,33633037,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,TAVANIC*5 cpr riv 500 mg,"8,25",SANOFI Srl,33634039,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 500 mg,"6,25",LABORATORI ALTER Srl,39614058,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 500 mg,"6,25",MYLAN SpA,39675172,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 500 mg,"6,25",TEVA ITALIA Srl,39686136,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,ALLGRAM*5 cpr riv 500 mg,"6,25",EURO-PHARMA Srl,40032017,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 500 mg,"6,25",ZENTIVA ITALIA Srl,40039024,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,EPIFLOXIN*5 cpr riv 500 mg,"6,25",EPIFARMA Srl,40040026,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,GRAY*5 cpr riv 500 mg,"6,25",AURORA BIOFARMA Srl,40041028,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOBAT*5 cpr riv 500 mg,"6,25",DYMALIFE PHARMACEUTICAL Srl,40042020,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 500 mg,"6,25",DOC GENERICI Srl,40043022,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 500 mg,"6,25",ABC FARMACEUTICI SpA,40046029,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,SUMMAFLOX*5 cpr riv div 500 mg,"6,25",AGIPS FARMACEUTICI Srl,40047021,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEMAXIL*5 cpr riv 500 mg,"6,25",IST.CHIM.INTERNAZ. RENDE Srl,40048023,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 500 mg,"6,25",TOWA PHARMACEUTICAL SpA,40050027,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,AGILEV*5 cpr riv 500 mg,"6,25",KONPHARMA Srl,40132021,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,ARANDA*5 cpr riv 500 mg,"6,25",EG SpA,40194096,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 500 mg,"6,25",SANDOZ SpA,40219139,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 500 mg,"6,25",SUN PHARMACEUTICAL IND.EU.B.V.,40250072,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 500 mg,"6,25",EG SpA,40303099,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,SINEFLOX*5 cpr riv 500 mg,"6,25",C.T. LAB.FARMACEUTICO Srl,40355024,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,FALEV*5 cpr riv 500 mg,"6,25",LANOVA FARMACEUTICI Srl,40361053,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOXIGRAM*5 cpr riv 500 mg,"6,25",AESCULAPIUS FARMACEUTICI Srl,40362067,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 500 mg,"6,25",ALMUS Srl,40373060,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,ALVAND*5 cpr riv 500 mg,"6,25",I.B.N. SAVIO Srl,40480055,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,KLEKTICA*5 cpr riv 500 mg,"6,25",S.F. GROUP Srl,40521027,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,TRISSIL*5 cpr riv 500 mg,"6,25",PIAM FARMACEUTICI SpA,40530026,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,BATIFLOX*5 cpr riv 500 mg,"6,25",S.F. GROUP Srl,40575021,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,FINDATUR*5 cpr riv 500 mg,"6,25",GENETIC SpA,40598029,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 500 mg,"6,25",AUROBINDO PHARMA ITALIA Srl,40941155,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 500 mg,"6,25",ACCORD HEALTHCARE SLU,41428121,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 500 mg,"6,25",TECNIGEN Srl,42803027,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 5 UNITA' USO ORALE,LEVOFLOXACINA*5 cpr riv 500 mg,"6,25",KRKA D.D.NOVO MESTO,44492078,FGB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 7 UNITA' USO ORALE,LEVOBAT*7 cpr riv 500 mg,"9,03",DYMALIFE PHARMACEUTICAL Srl,40042057,KZB,X,,
Levofloxacina,LEVOFLOXACINA 500MG 7 UNITA' USO ORALE,FALEV*7 cpr riv 500 mg,"9,03",LANOVA FARMACEUTICI Srl,40361065,KZB,X,,
Levomepromazina,LEVOMEPROMAZINA 100MG 20 UNITA' USO ORALE,NOZINAN*20 cpr riv 100 mg,"4,85",NEURAXPHARM ITALY SpA,15228024,O0A,,,
Levomepromazina,LEVOMEPROMAZINA 25MG 20 UNITA' USO ORALE,NOZINAN*20 cpr riv 25 mg,"2,58",NEURAXPHARM ITALY SpA,15228012,O0B,,,
Levosulpiride,LEVOSULPIRIDE 25MG 6 UNITA' USO PARENTERALE,LEVOPRAID*6 fiale IM EV 25 mg 2 ml,"3,56",TEOFARMA Srl,26009023,O1A,,,
Levosulpiride,LEVOSULPIRIDE 25MG 6 UNITA' USO PARENTERALE,LEVOBREN*6 fiale IM EV 25 mg 2 ml,"3,56",NEOPHARMED GENTILI SpA,27210044,O1A,,,
Levosulpiride,LEVOSULPIRIDE 50MG 6 UNITA' USO PARENTERALE,LEVOPRAID*6 fiale IM EV 50 mg 2 ml,"4,39",TEOFARMA Srl,26009062,O1B,,,
Levotiroxina,LEVOTIROXINA 100MCG 50 UNITA' USO ORALE,EUTIROX*50 cpr 100 mcg,"2,61",MERCK SERONO SpA,24402137,BKA,X,,
Levotiroxina,LEVOTIROXINA 100MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 100 mcg,"1,89",TEVA ITALIA Srl,40619672,BKA,X,,
Levotiroxina,LEVOTIROXINA 100MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 100 mcg,"1,89",DOC GENERICI Srl,46021186,BKA,X,,
Levotiroxina,LEVOTIROXINA 100MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 100 mcg,"1,89",ABDI FARMA GMBH,49815071,BKA,X,,
Levotiroxina,LEVOTIROXINA 25MCG 50 UNITA' USO ORALE,EUTIROX*50 cpr 25 mcg,"2,47",MERCK SERONO SpA,24402048,BKB,X,,
Levotiroxina,LEVOTIROXINA 25MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 25 mcg,"1,78",TEVA ITALIA Srl,40619049,BKB,X,,
Levotiroxina,LEVOTIROXINA 25MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 25 mcg,"1,78",DOC GENERICI Srl,46021046,BKB,X,,
Levotiroxina,LEVOTIROXINA 25MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 25 mcg,"1,78",ABDI FARMA GMBH,49815018,BKB,X,,
Levotiroxina,LEVOTIROXINA 50MCG 50 UNITA' USO ORALE,EUTIROX*50 cpr 50 mcg,"2,47",MERCK SERONO SpA,24402125,BKC,X,,
Levotiroxina,LEVOTIROXINA 50MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 50 mcg,"1,78",TEVA ITALIA Srl,40619254,BKC,X,,
Levotiroxina,LEVOTIROXINA 50MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 50 mcg,"1,78",DOC GENERICI Srl,46021111,BKC,X,,
Levotiroxina,LEVOTIROXINA 50MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 50 mcg,"1,78",ABDI FARMA GMBH,49815032,BKC,X,,
Levotiroxina,LEVOTIROXINA 75MCG 50 UNITA' USO ORALE,EUTIROX*50 cpr 75 mcg,"2,47",MERCK SERONO SpA,24402051,BKD,X,,
Levotiroxina,LEVOTIROXINA 75MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 75 mcg,"1,78",TEVA ITALIA Srl,40619468,BKD,X,,
Levotiroxina,LEVOTIROXINA 75MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 75 mcg,"1,78",DOC GENERICI Srl,46021352,BKD,X,,
Levotiroxina,LEVOTIROXINA 75MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 75 mcg,"1,78",ABDI FARMA GMBH,49815057,BKD,X,,
Levotiroxina,LEVOTIROXINA 125MCG 50 UNITA' USO ORALE,EUTIROX*50 cpr 125 mcg,"2,65",MERCK SERONO SpA,24402063,BKE,X,,
Levotiroxina,LEVOTIROXINA 125MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 125 mcg,"1,91",TEVA ITALIA Srl,40619886,BKE,X,,
Levotiroxina,LEVOTIROXINA 125MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 125 mcg,"1,91",DOC GENERICI Srl,46021414,BKE,X,,
Levotiroxina,LEVOTIROXINA 125MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 125 mcg,"1,91",ABDI FARMA GMBH,49815095,BKE,X,,
Levotiroxina,LEVOTIROXINA 150MCG 50 UNITA' USO ORALE,EUTIROX*50 cpr 150 mcg,"2,71",MERCK SERONO SpA,24402075,BKF,X,,
Levotiroxina,LEVOTIROXINA 150MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 150 mcg,"1,95",TEVA ITALIA Srl,40620104,BKF,X,,
Levotiroxina,LEVOTIROXINA 150MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 150 mcg,"1,95",DOC GENERICI Srl,46021477,BKF,X,,
Levotiroxina,LEVOTIROXINA 150MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 150 mcg,"1,95",ABDI FARMA GMBH,49815119,BKF,X,,
Levotiroxina,LEVOTIROXINA 175MCG 50 UNITA' USO ORALE,EUTIROX*50 cpr 175 mcg,"3,26",MERCK SERONO SpA,24402149,BKG,X,,
Levotiroxina,LEVOTIROXINA 175MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 175 mcg,"2,35",TEVA ITALIA Srl,40620318,BKG,X,,
Levotiroxina,LEVOTIROXINA 200MCG 50 UNITA' USO ORALE,EUTIROX*50 cpr 200 mcg,"3,34",MERCK SERONO SpA,24402152,BKH,X,,
Levotiroxina,LEVOTIROXINA 200MCG 50 UNITA' USO ORALE,LEVOTIROXINA*50 cpr 200 mcg,"2,41",DOC GENERICI Srl,46021251,BKH,X,,
Levotiroxina,LEVOTIROXINA 25MCG/ML 1ML 30 UNITA' USO ORALE (ETANOLO),TIROSINT*orale soluz 30 flaconcini 1 ml 25 mcg/ml,"4,13",IBSA FARMACEUTICI ITALIA Srl,34368074,BKI,,,
Levotiroxina,LEVOTIROXINA 50MCG/ML 1ML 30 UNITA' USO ORALE (ETANOLO),TIROSINT*orale soluz 30 flaconcini 1 ml 50 mcg/ml,"7,45",IBSA FARMACEUTICI ITALIA Srl,34368086,BKJ,,,
Levotiroxina,LEVOTIROXINA 75MCG/ML 1ML 30 UNITA' USO ORALE,TIROSINT*orale soluz 30 flaconcini 1 ml 75 mcg/ml,"9,93",IBSA FARMACEUTICI ITALIA Srl,34368098,BKK,,,
Levotiroxina,LEVOTIROXINA 100MCG/ML 1ML 30 UNITA' USO ORALE (ETANOLO),TIROSINT*orale soluz 30 flaconcini 1 ml 100 mcg/ml,"9,93",IBSA FARMACEUTICI ITALIA Srl,34368100,BKL,,,
Levotiroxina,LEVOTIROXINA 100MCG/ML 20ML USO ORALE,TIROSINT*orale gtt 20 ml 100 mcg/ml,"9,93",IBSA FARMACEUTICI ITALIA Srl,34368062,BKM,,,
Levotiroxina,LEVOTIROXINA 100MCG/5ML 75ML 2 UNITA' USO ORALE,TIFACTOR*orale soluz 2 flaconi 75 ml 100 mcg/5 ml con siringa graduata,"14,16",I.B.N. SAVIO Srl,45995091,KWW,,,
Levotiroxina,LEVOTIROXINA 88MCG 50 UNITA' USO ORALE,EUTIROX*50 cpr 88 mcg,"3,43",MERCK SERONO SpA,24402164,LKB,,,
Levotiroxina,LEVOTIROXINA 112MCG 50 UNITA' USO ORALE,EUTIROX*50 cpr 112 mcg,"4,37",MERCK SERONO SpA,24402176,LKC,,,
Levotiroxina,LEVOTIROXINA 137MCG 50 UNITA' USO ORALE,EUTIROX*50 cpr 137 mcg,"4,83",MERCK SERONO SpA,24402188,LKD,,,
Levotiroxina,LEVOTIROXINA 13MCG/ML 1ML 30 UNITA' USO ORALE (GLICEROLO),LEVOTIRSOL*orale soluz 30 flaconcini 1 ml 13 mcg,"4,13",IBSA FARMACEUTICI ITALIA Srl,46860019,LPH,,,
Levotiroxina,LEVOTIROXINA 88MCG/ML 1ML 30 UNITA' USO ORALE (GLICEROLO),LEVOTIRSOL*orale soluz 30 flaconcini 1 ml 88 mcg,"10,38",IBSA FARMACEUTICI ITALIA Srl,46860058,LPI,,,
Levotiroxina,LEVOTIROXINA 112MCG/ML 1ML 30 UNITA' USO ORALE (GLICEROLO),LEVOTIRSOL*orale soluz 30 flaconcini 1 ml 112 mcg,"15,09",IBSA FARMACEUTICI ITALIA Srl,46860072,LPJ,,,
Levotiroxina,LEVOTIROXINA 125MCG/ML 1ML 30 UNITA' USO ORALE (GLICEROLO),LEVOTIRSOL*orale soluz 30 flaconcini 1 ml 125 mcg,"15,09",IBSA FARMACEUTICI ITALIA Srl,46860084,LPK,,,
Levotiroxina,LEVOTIROXINA 137MCG/ML 1ML 30 UNITA' USO ORALE (GLICEROLO),LEVOTIRSOL*orale soluz 30 flaconcini 1 ml 137 mcg,"18,28",IBSA FARMACEUTICI ITALIA Srl,46860096,LPL,,,
Levotiroxina,LEVOTIROXINA 150MCG/ML 1ML 30 UNITA' USO ORALE (GLICEROLO),LEVOTIRSOL*orale soluz 30 flaconcini 1 ml 150 mcg,"18,28",IBSA FARMACEUTICI ITALIA Srl,46860108,LPM,,,
Levotiroxina,LEVOTIROXINA 175MCG/ML 1ML 30 UNITA' USO ORALE (GLICEROLO),LEVOTIRSOL*orale soluz 30 flaconcini 1 ml 175 mcg,"23,88",IBSA FARMACEUTICI ITALIA Srl,46860110,LPN,,,
Levotiroxina,LEVOTIROXINA 200MCG/ML 1ML 30 UNITA' USO ORALE (GLICEROLO),LEVOTIRSOL*orale soluz 30 flaconcini 1 ml 200 mcg,"23,88",IBSA FARMACEUTICI ITALIA Srl,46860122,LPO,,,
Levotiroxina,LEVOTIROXINA 25MCG/ML 1ML 30 UNITA' USO ORALE (GLICEROLO),LEVOTIRSOL*orale soluz 30 flaconcini 1 ml 25 mcg,"3,68",IBSA FARMACEUTICI ITALIA Srl,46860021,LPS,,,
Levotiroxina,LEVOTIROXINA 50MCG/ML 1ML 30 UNITA' USO ORALE (GLICEROLO),LEVOTIRSOL*orale soluz 30 flaconcini 1 ml 50 mcg,"6,63",IBSA FARMACEUTICI ITALIA Srl,46860033,LPT,,,
Levotiroxina,LEVOTIROXINA 75MCG/ML 1ML 30 UNITA' USO ORALE (GLICEROLO),LEVOTIRSOL*orale soluz 30 flaconcini 1 ml 75 mcg,"9,93",IBSA FARMACEUTICI ITALIA Srl,46860045,LPU,,,
Levotiroxina,LEVOTIROXINA 100MCG/ML 1ML 30 UNITA' USO ORALE (GLICEROLO),LEVOTIRSOL*orale soluz 30 flaconcini 1 ml 100 mcg,"13,27",IBSA FARMACEUTICI ITALIA Srl,46860060,LPV,,,
Lidocaina,LIDOCAINA 700MG 10 UNITA' USO TOPICO,VERSATIS*10 cerotti medicati 700 mg,"16,61",GRUNENTHAL ITALIA Srl,40335022,TZA,,,
Lidocaina,LIDOCAINA 700MG 30 UNITA' USO TOPICO,VERSATIS*30 cerotti medicati 700 mg,"49,82",GRUNENTHAL ITALIA Srl,40335059,TZB,,,
Limeciclina,LIMECICLINA 408MG (300MG TETRACICLINA) 28 UNITA' USO ORALE,TETRALYSAL*28 cps 300 mg,"12,13",GALDERMA ITALIA SpA,18469066,SLA,,,
Linagliptin,LINAGLIPTIN 5MG 28 UNITA' USO ORALE,TRAJENTA*28 cpr riv 5 mg,"61,90",BOEHRINGER INGELHEIM INT.GMBH,41401035,IWG,,,
Lincomicina,LINCOMICINA 500MG 12 UNITA' USO ORALE,LINCOCIN*12 cps 500 mg,"5,46",PFIZER ITALIA Srl,20601023,O2A,,,
Lincomicina,LINCOMICINA 600MG 1 UNITA' USO PARENTERALE,LINCOCIN*1 fiala iniett 600 mg 2 ml,"2,38",PFIZER ITALIA Srl,20601035,O2B,,,
Lincomicina,LINCOMICINA 600MG 1 UNITA' USO PARENTERALE,LINCOCIN*1 flaconcino iniett 600 mg 2 ml,"2,38",PFIZER ITALIA Srl,20601098,O2B,,,
Linezolid,LINEZOLID 100MG/5ML 1 UNITA' USO ORALE,ZYVOXID*orale grat sosp 100 mg 5 ml,"457,12",PFIZER ITALIA Srl,35410075,BSC,,,
Linezolid,LINEZOLID 600MG 10 UNITA' USO ORALE,ZYVOXID*10 cpr riv 600 mg,"914,25",PFIZER ITALIA Srl,35410226,BSD,X,,
Linezolid,LINEZOLID 600MG 10 UNITA' USO ORALE,LINEZOLID*10 cpr riv 600 mg,"479,99",TEVA ITALIA Srl,43122098,BSD,X,,
Linezolid,LINEZOLID 600MG 10 UNITA' USO ORALE,LINEZOLID*10 cpr riv 600 mg,"479,99",KRKA D.D.NOVO MESTO,44172017,BSD,X,,
Linezolid,LINEZOLID 600MG 10 UNITA' USO ORALE,LINEZOLID*10 cpr riv 600 mg,"479,99",AUROBINDO PHARMA ITALIA Srl,44948065,BSD,X,,
Liotironina,LIOTIRONINA 20MCG/ML 20ML USO ORALE,LIOTIR*orale gtt 20 ml 20 mcg/ml,"13,81",IBSA FARMACEUTICI ITALIA Srl,36906016,O3A,,,
Liotironina,LIOTIRONINA 10MCG/ML 30UNITA' USO ORALE,LIOTIR*orale 30 contenitori monodose 1 ml 10 mcg/ml,"10,36",IBSA FARMACEUTICI ITALIA Srl,36906030,O3C,,,
Liotironina,LIOTIRONINA 15MCG/ML 30UNITA' USO ORALE,LIOTIR*orale 30 contenitori monodose 1 ml 15 mcg/ml,"15,53",IBSA FARMACEUTICI ITALIA Srl,36906042,O3D,,,
Liotironina,LIOTIRONINA 20MCG/ML 30UNITA' USO ORALE,LIOTIR*orale 30 contenitori monodose 1 ml 20 mcg/ml,"20,71",IBSA FARMACEUTICI ITALIA Srl,36906055,O3E,,,
Lipegfilgrastim,LIPEGFILGRASTIM 6MG 1 UNITA' USO PARENTERALE,"LONQUEX*1 siringa 6 mg 0,6 ml","1353,94",TEVA B.V.,42919011,CGX,,,
Lipegfilgrastim,"LIPEGFILGRASTIM 0,6ML 6MG 6 UNITA' USO PARENTERALE","LONQUEX*6 flaconcini SC 6 mg 0,6 ml","8123,66",TEVA B.V.,42919047,MWO,,,
Lipidi di soia/Fosfolipidi di tuorlo d'uovo,LIPIDI DI SOIA+FOSFOLIPIDI DI TUORLO D'UOVO 20% 500ML USO PARENTERALE,INTRALIPID*1 sacca biofine EV 500 ml 20 g/100 ml,"21,67",FRESENIUS KABI ITALIA Srl,24385395,PKA,,,
Liraglutide,LIRAGLUTIDE 6MG/ML 3ML 2 UNITA' USO PARENTERALE,VICTOZA*2 penne preriempite SC 3 ml 6 mg/ml,"131,82",NOVO NORDISK A/S,39365010,O4A,,,
Lisinopril,LISINOPRIL 5MG 14 UNITA' USO ORALE,PRINIVIL*14 cpr 5 mg,"4,00",NEOPHARMED GENTILI SpA,26830012,DIA,X,,
Lisinopril,LISINOPRIL 5MG 14 UNITA' USO ORALE,ZESTRIL*14 cpr 5 mg,"4,21",ATNAHS PHARMA NETHERLANDS BV,26834010,DIA,X,,
Lisinopril,LISINOPRIL 5MG 14 UNITA' USO ORALE,ALAPRIL*14 cpr 5 mg,"4,00",NEOPHARMED GENTILI SpA,26837017,DIA,X,,
Lisinopril,LISINOPRIL 5MG 14 UNITA' USO ORALE,LISINOPRIL*14 cpr 5 mg,"2,10",EG SpA,37258011,DIA,X,,
Lisinopril,LISINOPRIL 5MG 14 UNITA' USO ORALE,LISINOPRIL*14 cpr 5 mg,"2,10",RATIOPHARM GMBH,37426020,DIA,X,,
Lisinopril,LISINOPRIL 5MG 14 UNITA' USO ORALE,LISINOPRIL*14 cpr 5 mg,"2,10",SANDOZ SpA,37471024,DIA,X,,
Lisinopril,LISINOPRIL 5MG 14 UNITA' USO ORALE,LISINOPRIL*14 cpr 5 mg,"2,10",MYLAN SpA,37710011,DIA,X,,
Lisinopril,LISINOPRIL 5MG 14 UNITA' USO ORALE,LISINOPRIL*14 cpr 5 mg,"2,10",ZENTIVA ITALIA Srl,37932011,DIA,X,,
Lisinopril,LISINOPRIL 5MG 14 UNITA' USO ORALE,LISINOPRIL*14 cpr 5 mg,"2,10",DOC GENERICI Srl,38060012,DIA,X,,
Lisinopril,LISINOPRIL 5MG 14 UNITA' USO ORALE,ZESTRIL*14 cpr 5 mg,"3,90",PROGRAMMI SANIT.INTEGRATI Srl,38481026,DIA,X,,
Lisinopril,LISINOPRIL 5MG 14 UNITA' USO ORALE,LISINOPRIL*14 cpr 5 mg,"2,10",TOWA PHARMACEUTICAL SpA,38668012,DIA,X,,
Lisinopril,LISINOPRIL 5MG 14 UNITA' USO ORALE,LISINOPRIL*14 cpr 5 mg,"2,10",AUROBINDO PHARMA ITALIA Srl,40262091,DIA,X,,
